Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,-1.96,-2.96
,,
,,
,,
Label,,
TIME,CH1,CH2
-9.000e-04,1.80219,1.61141
-8.800e-04,1.55531,1.40523
-8.600e-04,1.33,1.20602
-8.400e-04,1.15281,1.01133
-8.200e-04,0.947812,0.833359
-8.000e-04,0.77875,0.671328
-7.800e-04,0.61,0.523281
-7.600e-04,0.458125,0.386875
-7.400e-04,0.346562,0.276016
-7.200e-04,0.244063,0.185312
-7.000e-04,0.13625,0.105625
-6.800e-04,0.06,0.0432812
-6.600e-04,0.0271875,-0.00601563
-6.400e-04,-0.0059375,-0.0303125
-6.200e-04,-0.0178125,-0.035
-6.000e-04,0.0025,-0.0241406
-5.800e-04,0.0315625,0.00773437
-5.600e-04,0.0815625,0.0572656
-5.400e-04,0.131875,0.120156
-5.200e-04,0.23,0.198281
-5.000e-04,0.330937,0.290312
-4.800e-04,0.465,0.411641
-4.600e-04,0.605625,0.547812
-4.400e-04,0.793125,0.703516
-4.200e-04,0.962187,0.859453
-4.000e-04,1.14281,1.04094
-3.800e-04,1.35062,1.23664
-3.600e-04,1.56375,1.43344
-3.400e-04,1.79312,1.63953
-3.200e-04,2.05781,1.86555
-3.000e-04,2.32812,2.09953
-2.800e-04,2.59563,2.33516
-2.600e-04,2.86687,2.51773
-2.400e-04,3.14938,2.54539
-2.200e-04,3.44906,2.53336
-2.000e-04,3.74781,2.53148
-1.800e-04,3.97812,2.52414
-1.600e-04,4.30219,2.52672
-1.400e-04,4.60687,2.52211
-1.200e-04,4.90781,2.51703
-1.000e-04,5.22969,2.51914
-8.000e-05,5.53406,2.52148
-6.000e-05,5.87156,2.51859
-4.000e-05,6.17531,2.52055
