Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,-2.04,-0.42
,,
,,
,,
Label,,
TIME,CH1,CH2
2.980e-03,3.4775,0.670469
3.000e-03,3.19281,0.662969
3.020e-03,2.9075,0.669922
3.040e-03,2.63125,0.664766
3.060e-03,2.35625,0.660859
3.080e-03,2.09438,0.659531
3.100e-03,1.83219,0.657656
3.120e-03,1.59063,0.655391
3.140e-03,1.39344,0.657422
3.160e-03,1.16531,0.653203
3.180e-03,0.979375,0.654219
3.200e-03,0.770625,0.62625
3.220e-03,0.630313,0.528359
3.240e-03,0.4825,0.409297
3.260e-03,0.353125,0.296719
3.280e-03,0.234688,0.208984
3.300e-03,0.150625,0.133984
3.320e-03,0.0953125,0.0710937
3.340e-03,0.035625,0.030625
3.360e-03,0.0125,0.00179687
3.380e-03,-0.0021875,-0.01375
3.400e-03,0.0075,-0.00632813
3.420e-03,0.031875,0.0233594
3.440e-03,0.078125,0.0625
3.460e-03,0.156875,0.125312
3.480e-03,0.225,0.201719
3.500e-03,0.31625,0.281328
3.520e-03,0.457187,0.389297
3.540e-03,0.587813,0.500703
3.560e-03,0.751875,0.610156
3.580e-03,0.941875,0.646172
3.600e-03,1.12438,0.64375
3.620e-03,1.3275,0.642578
3.640e-03,1.55344,0.63375
3.660e-03,1.7675,0.633516
3.680e-03,2.02906,0.633281
3.700e-03,2.2975,0.625703
3.720e-03,2.58438,0.629062
3.740e-03,2.85,0.629609
3.760e-03,3.14219,0.624766
3.780e-03,3.42813,0.622578
3.800e-03,3.72531,0.628906
3.820e-03,4.01813,0.624844
3.840e-03,4.26281,0.623203
3.860e-03,4.57375,0.624062
3.880e-03,4.90188,0.632812
3.900e-03,5.20656,0.626484
3.920e-03,5.50781,0.628359
3.940e-03,5.82594,0.621484
3.960e-03,6.15531,0.625078
3.980e-03,6.45875,0.624609
4.000e-03,6.75531,0.624297
4.020e-03,7.02844,0.623906
